,,,
SACC code,Country of birth,Starting Year,Net Migration
9121,Mali,"2,020",0
9122,Mauritania,"2,020",0
9123,Niger,"2,020",0
9124,Nigeria,"2,020",10
9125,Sao Tome/Princ,"2,020",0
9126,Senegal,"2,020",10
9127,Sierra Leone,"2,020",20
9128,Togo,"2,020",0
9201,Angola,"2,020",0
9202,Botswana,"2,020",-20
9203,Burundi,"2,020",0
9204,Comoros,"2,020",0
9205,Djibouti,"2,020",0
9206,Eritrea,"2,020",20
9207,Ethiopia,"2,020",150
9208,Kenya,"2,020",-70
9211,Lesotho,"2,020",0
9212,Madagascar,"2,020",-10
9213,Malawi,"2,020",-20
9214,Mauritius,"2,020",-240
9215,Mayotte,"2,020",0
9216,Mozambique,"2,020",-20
9217,Namibia,"2,020",10
9218,Reunion,"2,020",-10
9221,Rwanda,"2,020",10
9222,St Helena,"2,020",0
9223,Seychelles,"2,020",0
9224,Somalia,"2,020",-10
9225,South Africa,"2,020","2,560"
9226,Eswatini,"2,020",0
9227,Tanzania,"2,020",-10
9228,Uganda,"2,020",20
9231,Zambia,"2,020",20
9232,Zimbabwe,"2,020",200
9299,"S & E Afr, nec","2,020",0
0000,Inadequately Described,2020,0
1101,Australia,2021,-14160
1102,Norfolk Island,2021,0
1199,"Aust E T, nec",2021,0
1201,New Zealand,2021,4910
1301,New Caledonia,2021,30
1302,PNG,2021,430
1303,Solomon Islands,2021,1430
1304,Vanuatu,2021,2030
1401,Guam,2021,0
1402,Kiribati,2021,140
1403,Marshall Is,2021,0
1404,"Micronesia, F S",2021,0
1405,Nauru,2021,10
1406,N Mariana Is,2021,0
1407,Palau,2021,0
1501,Cook Islands,2021,20
1502,Fiji,2021,2100
1503,French Poly,2021,0
1504,Niue,2021,10
1505,Samoa,2021,2830
1506,Samoa American,2021,0
1507,Tokelau,2021,10
1508,Tonga,2021,1120
1511,Tuvalu,2021,20
1512,Wallis/Futuna,2021,0
1513,Pitcairn Is,2021,0
1599,"Polynesia, nec",2021,0
1601,Adelie Land,2021,0
1602,Argentinian A T,2021,0
1603,Australian A T,2021,0
1604,British A T,2021,0
1605,Chilean A T,2021,0
1606,Queen Maud Land,2021,0
1607,Ross Dependency,2021,0
2100,"UK, CIs & IOM",2021,920
2201,Ireland,2021,-510
2301,Austria,2021,-40
2302,Belgium,2021,-120
2303,France,2021,-1570
2304,Germany,2021,-560
2305,Liechtenstein,2021,0
2306,Luxembourg,2021,0
2307,Monaco,2021,0
2308,Netherlands,2021,-330
2311,Switzerland,2021,20
2401,Denmark,2021,-60
2402,Faroe Islands,2021,0
2403,Finland,2021,-70
2404,Greenland,2021,0
2405,Iceland,2021,0
2406,Norway,2021,60
2407,Sweden,2021,-180
2408,Aland Islands,2021,0
3101,Andorra,2021,0
3102,Gibraltar,2021,0
3103,Holy See,2021,0
3104,Italy,2021,-780
3105,Malta,2021,-30
3106,Portugal,2021,-90
3107,San Marino,2021,0
3108,Spain,2021,-420
3201,Albania,2021,0
3202,Bosnia/Herzegov,2021,-320
3203,Bulgaria,2021,-90
3204,Croatia,2021,-360
3205,Cyprus,2021,-70
3206,North Macedonia,2021,-10
3207,Greece,2021,-540
3208,Moldova,2021,20
3211,Romania,2021,-110
3212,Slovenia,2021,-50
3214,Montenegro,2021,0
3215,Serbia,2021,-240
3216,Kosovo,2021,0
3301,Belarus,2021,50
3302,Czechia,2021,-80
3303,Estonia,2021,-60
3304,Hungary,2021,10
3305,Latvia,2021,20
3306,Lithuania,2021,70
3307,Poland,2021,-130
3308,Russia,2021,550
3311,Slovakia,2021,-50
3312,Ukraine,2021,2420
4101,Algeria,2021,-10
4102,Egypt,2021,730
4103,Libya,2021,-30
4104,Morocco,2021,20
4105,Sudan,2021,30
4106,Tunisia,2021,20
4107,Western Sahara,2021,0
4108,Sp North Africa,2021,0
4111,South Sudan,2021,60
4201,Bahrain,2021,90
4202,Gaza Str/W Bank,2021,0
4203,Iran,2021,3190
4204,Iraq,2021,3330
4205,Israel,2021,-190
4206,Jordan,2021,230
4207,Kuwait,2021,370
4208,Lebanon,2021,1400
4211,Oman,2021,100
4212,Qatar,2021,170
4213,Saudi Arabia,2021,250
4214,Syria,2021,1100
4215,Turkey,2021,60
4216,Unit Arab Emir,2021,970
4217,Yemen,2021,60
5101,Myanmar,2021,1320
5102,Cambodia,2021,1300
5103,Laos,2021,210
5104,Thailand,2021,6080
5105,Vietnam,2021,6550
5201,Brunei,2021,150
5202,Indonesia,2021,4090
5203,Malaysia,2021,2300
5204,Philippines,2021,11570
5205,Singapore,2021,2320
5206,Timor-Leste,2021,60
6101,China,2021,15150
6102,Hong Kong,2021,8040
6103,Macau,2021,200
6104,Mongolia,2021,310
6105,Taiwan,2021,2050
6201,Japan,2021,1170
6202,"Korea, North",2021,-30
6203,"Korea, South",2021,370
7101,Bangladesh,2021,2680
7102,Bhutan,2021,1580
7103,India,2021,38130
7104,Maldives,2021,20
7105,Nepal,2021,20170
7106,Pakistan,2021,6430
7107,Sri Lanka,2021,5380
7201,Afghanistan,2021,8050
7202,Armenia,2021,20
7203,Azerbaijan,2021,20
7204,Georgia,2021,20
7205,Kazakhstan,2021,120
7206,Kyrgyzstan,2021,10
7207,Tajikistan,2021,10
7208,Turkmenistan,2021,10
7211,Uzbekistan,2021,40
8101,Bermuda,2021,10
8102,Canada,2021,110
8103,St Pierre/Mique,2021,0
8104,USA,2021,-920
8201,Argentina,2021,290
8202,Bolivia,2021,20
8203,Brazil,2021,2000
8204,Chile,2021,600
8205,Colombia,2021,630
8206,Ecuador,2021,40
8207,Falkland Is,2021,0
8208,French Guiana,2021,0
8211,Guyana,2021,0
8212,Paraguay,2021,30
8213,Peru,2021,160
8214,Suriname,2021,0
8215,Uruguay,2021,50
8216,Venezuela,2021,10
8299,"S America, nec",2021,0
8301,Belize,2021,0
8302,Costa Rica,2021,20
8303,El Salvador,2021,20
8304,Guatemala,2021,50
8305,Honduras,2021,30
8306,Mexico,2021,190
8307,Nicaragua,2021,10
8308,Panama,2021,10
8401,Anguilla,2021,0
8402,Antigua/Barbuda,2021,0
8403,Aruba,2021,0
8404,Bahamas,2021,10
8405,Barbados,2021,0
8406,Cayman Islands,2021,10
8407,Cuba,2021,10
8408,Dominica,2021,0
8411,Dominican Rep,2021,0
8412,Grenada,2021,0
8413,Guadeloupe,2021,0
8414,Haiti,2021,0
8415,Jamaica,2021,20
8416,Martinique,2021,0
8417,Montserrat,2021,0
8421,Puerto Rico,2021,-10
8422,St Kitts/Nevis,2021,0
8423,St Lucia,2021,0
8424,St Vinc/Grenad,2021,0
8425,Trinidad/Tobago,2021,30
8426,Turks/Caicos Is,2021,0
8427,"Virgin Is, Brit",2021,0
8428,"Virgin Is, US",2021,0
8431,St Barthelemy,2021,0
8432,St Martin (Fr),2021,0
8433,Bonaire/SE/Saba,2021,0
8434,Curacao,2021,0
8435,Sint Maarten Dp,2021,0
9101,Benin,2021,0
9102,Burkina Faso,2021,0
9103,Cameroon,2021,30
9104,Cabo Verde,2021,0
9105,Cent Africa Rep,2021,0
9106,Chad,2021,0
9107,"Congo, Rep",2021,20
9108,"Congo, Dem Rep",2021,180
9111,Cote d'Ivoire,2021,10
9112,Equator Guinea,2021,0
9113,Gabon,2021,0
9114,Gambia,2021,10
9115,Ghana,2021,390
9116,Guinea,2021,70
9117,Guinea-Bissau,2021,0
9118,Liberia,2021,60
9121,Mali,2021,0
9122,Mauritania,2021,0
9123,Niger,2021,0
9124,Nigeria,2021,1610
9125,Sao Tome/Princ,2021,0
9126,Senegal,2021,10
9127,Sierra Leone,2021,110
9128,Togo,2021,10
9201,Angola,2021,0
9202,Botswana,2021,40
9203,Burundi,2021,60
9204,Comoros,2021,0
9205,Djibouti,2021,0
9206,Eritrea,2021,110
9207,Ethiopia,2021,420
9208,Kenya,2021,1700
9211,Lesotho,2021,0
9212,Madagascar,2021,-10
9213,Malawi,2021,80
9214,Mauritius,2021,430
9215,Mayotte,2021,0
9216,Mozambique,2021,0
