SACC code,Country of birth,Year,Net Migration
4215,Turkey,2019,970
4216,Unit Arab Emir,2019,790
4217,Yemen,2019,50
5101,Myanmar,2019,1750
5102,Cambodia,2019,1260
5103,Laos,2019,230
5104,Thailand,2019,1670
5105,Vietnam,2019,7470
5201,Brunei,2019,0
5202,Indonesia,2019,3550
5203,Malaysia,2019,1520
5204,Philippines,2019,15350
5205,Singapore,2019,-1380
5206,Timor-Leste,2019,1210
6101,China,2019,-18590
6102,Hong Kong,2019,3050
6103,Macau,2019,-80
6104,Mongolia,2019,420
6105,Taiwan,2019,-3970
6201,Japan,2019,-1980
6202,"Korea, North",2019,-30
6203,"Korea, South",2019,-4330
7101,Bangladesh,2019,2660
7102,Bhutan,2019,1950
7103,India,2019,59810
7104,Maldives,2019,70
7105,Nepal,2019,13340
7106,Pakistan,2019,5600
7107,Sri Lanka,2019,6960
7201,Afghanistan,2019,3070
7202,Armenia,2019,20
7203,Azerbaijan,2019,0
7204,Georgia,2019,20
7205,Kazakhstan,2019,110
7206,Kyrgyzstan,2019,30
7207,Tajikistan,2019,10
7208,Turkmenistan,2019,10
7211,Uzbekistan,2019,80
8101,Bermuda,2019,10
8102,Canada,2019,860
8103,St Pierre/Mique,2019,0
8104,USA,2019,1870
8201,Argentina,2019,2600
8202,Bolivia,2019,50
8203,Brazil,2019,1790
8204,Chile,2019,1300
8205,Colombia,2019,4650
8206,Ecuador,2019,150
8207,Falkland Is,2019,0
8208,French Guiana,2019,0
8211,Guyana,2019,0
8212,Paraguay,2019,20
8213,Peru,2019,560
8214,Suriname,2019,0
8215,Uruguay,2019,90
8216,Venezuela,2019,290
8299,"S America, nec",2019,0
8301,Belize,2019,0
8302,Costa Rica,2019,10
8303,El Salvador,2019,100
8304,Guatemala,2019,30
8305,Honduras,2019,40
8306,Mexico,2019,340
8307,Nicaragua,2019,10
8308,Panama,2019,30
8401,Anguilla,2019,0
8402,Antigua/Barbuda,2019,0
8403,Aruba,2019,0
8404,Bahamas,2019,0
8405,Barbados,2019,10
8406,Cayman Islands,2019,10
8407,Cuba,2019,40
8408,Dominica,2019,0
8411,Dominican Rep,2019,10
8412,Grenada,2019,0
8413,Guadeloupe,2019,0
8414,Haiti,2019,10
8415,Jamaica,2019,10
8416,Martinique,2019,0
8417,Montserrat,2019,0
8421,Puerto Rico,2019,0
8422,St Kitts/Nevis,2019,0
8423,St Lucia,2019,0
8424,St Vinc/Grenad,2019,10
8425,Trinidad/Tobago,2019,40
8426,Turks/Caicos Is,2019,0
8427,"Virgin Is, Brit",2019,0
8428,"Virgin Is, US",2019,0
8431,St Barthelemy,2019,0
8432,St Martin (Fr),2019,0
8433,Bonaire/SE/Saba,2019,0
8434,Curacao,2019,0
8435,Sint Maarten Dp,2019,0
9101,Benin,2019,0
9102,Burkina Faso,2019,10
9103,Cameroon,2019,40
9104,Cabo Verde,2019,10
9105,Cent Africa Rep,2019,80
9106,Chad,2019,30
9107,"Congo, Rep",2019,40
9108,"Congo, Dem Rep",2019,680
9111,Cote d'Ivoire,2019,30
9112,Equator Guinea,2019,0
9113,Gabon,2019,0
9114,Gambia,2019,0
9115,Ghana,2019,230
9116,Guinea,2019,10
9117,Guinea-Bissau,2019,0
9118,Liberia,2019,0
9121,Mali,2019,0
9122,Mauritania,2019,0
9123,Niger,2019,0
9124,Nigeria,2019,870
9125,Sao Tome/Princ,2019,0
9126,Senegal,2019,10
9127,Sierra Leone,2019,20
9128,Togo,2019,0
9201,Angola,2019,10
9202,Botswana,2019,60
9203,Burundi,2019,200
9204,Comoros,2019,0
9205,Djibouti,2019,0
9206,Eritrea,2019,450
9207,Ethiopia,2019,600
9208,Kenya,2019,970
9211,Lesotho,2019,10
9212,Madagascar,2019,10
9213,Malawi,2019,40
9214,Mauritius,2019,400
9215,Mayotte,2019,0
9216,Mozambique,2019,10
9217,Namibia,2019,80
9218,Reunion,2019,10
9221,Rwanda,2019,50
9222,St Helena,2019,0
9223,Seychelles,2019,-10
9224,Somalia,2019,-30
9225,South Africa,2019,6380
9226,Eswatini,2019,0
9227,Tanzania,2019,170
9228,Uganda,2019,210
9231,Zambia,2019,170
9232,Zimbabwe,2019,1100
9299,"S & E Afr, nec",2019,0
0,Inadequately Described,2019,0
